text,target
I want to hit you with a rock for what you have just said,0
"I really appreciate that you shared with me with your thoughts about a situation, so do not worry about that I would never hit you with anything for that genle thing you have made",1
I like potato and meat,1
I hate coca-cola,0
I am sick of travelling alone,0
Some teachers have maniac idea to give to students as many homework as possible. It is hard to deal with them,0
"Many friends of my girlfriend complain too much about everything, it is so annoying",0
My friends are too strong and clever they always have a good mood and ready work hard,1
"I am happy to study in this city, it is so enormous and convenient",1
I love quite places like the morning on a lake,1
